# Found 1672 good books out of 10806 checked
# book_id,title,author,tokens
31552,Novo dicionário da língua portuguesa,Cândido de Figueiredo,113712
10223,Meyers Konversationslexikon Band 15,Various,109360
23962,西遊記,Cheng'en Wu,92168
24226,史記,Qian Sima,90275
23876,徐霞客遊記,Hongzu Xu,82884
23835,隋唐演義,active 1675-1695 Renhu Chu,78953
23817,閱微草堂筆記,Yun Ji,58774
23910,封神演義,Xixing Lu,56653
24233,東度記,active 17th century Qingxidaoren,55879
200,The Project Gutenberg Encyclopedia; Volume 1 of 28,Project Gutenberg,50070
10625,A Concise Dictionary of Middle English from A.D. 1150 to 1580,A. L. Mayhew,44249
40074,A Dictionary of Cebuano Visayan,John U. Wolff,43130
668,The Gutenberg Webster's Unabridged Dictionary: Section S,Project Gutenberg,43104
660,The Gutenberg Webster's Unabridged Dictionary: Section A and B,Project Gutenberg,42740
33982,Le maccheronee,Teofilo Folengo,41519
31543,A Concise Anglo-Saxon Dictionary,J. R. Clark Hall,39772
10800,The Anatomy of Melancholy,Robert Burton,39488
22,Roget's Thesaurus,Peter Mark Roget,38819
10681,Roget's Thesaurus of English Words and Phrases,Peter Mark Roget,38705
662,The Gutenberg Webster's Unabridged Dictionary: Section D and E,Project Gutenberg,38592
665,The Gutenberg Webster's Unabridged Dictionary: Section M; N; and O,Project Gutenberg,35399
666,The Gutenberg Webster's Unabridged Dictionary: Section P and Q,Project Gutenberg,35378
12342,The Nuttall Encyclopædia,P. Austin Nuttall,34837
43016,Chaucer's Works; Volume 5 — Notes to the Canterbury Tales,Geoffrey Chaucer,34276
43215,Ivanhoe,Walter Scott,34172
12410,The Travels of Marco Polo — Volume 2,Marco Polo,33417
43078,Der Occultismus des Altertums,Karl Kiesewetter,32156
22514,Perth'in kaupungin kaunotar,Walter Scott,31656
13975,Qventin Durward,Walter Scott,31618
44042,Runous ja runouden muodot: Kirjoitelmia. Runoja.,B. F. Godenhjelm,31501
43123,The Native Races [of the Pacific states]; Volume 3; Myths and Languages,Hubert Howe Bancroft,30581
43555,Selections from Early Middle English; 1130-1250. Part 2: Notes,= Logeman; H.; Archiv; cxvii. 29; Björkman;,30373
13691,Lastuja I-III,Juhani Aho,29876
42453,Suomalaisen kirjallisuuden vaiheet,Julius Krohn,29840
42397,Ιστορία της Αρχαίας Ελληνικής Λογοτεχνίας,Gilbert Murray,27997
34241,Kenelm Chillingly: Hänen elämänvaiheensa ja mielipiteensä,Baron Edward Bulwer Lytton Lytton,27764
43089,Chaucer's Works; Volume 1 — Romaunt of the Rose; Minor Poems,Geoffrey Chaucer,27736
23824,說唐,Guanzhong Luo,27534
43941,Erämaan taistelu: Historiallinen romaani,Santeri Ivalo,27358
43610,Naisten aarreaitta,Émile Zola,27356
